Keyword,Monthly Searches,Competition,Opportunity Score,Total Results,Ads Count,Featured Snippet,People Also Ask,Knowledge Graph,Intent,Tail
Avengers,5000,0.6,6.06,241000000,0,No,Yes,Yes,informational,short-tail
Avengers new movie,2500,0.57,5.86,244000000,0,No,Yes,No,informational,mid-tail
Marvel's The Avengers [Blu-ray],2000,0.5545,5.85,6070000,0,No,Yes,No,informational,long-tail
Who is the strongest Avenger?,1666,0.543,5.83,4190000,0,No,Yes,No,informational,long-tail
Avengers 1,3333,0.6,5.78,251000000,0,No,Yes,Yes,informational,short-tail
Avengers: Endgame,3333,0.6,5.78,45800000,0,No,Yes,Yes,informational,short-tail
Avengers movie,3333,0.6,5.78,243000000,0,No,Yes,Yes,informational,short-tail
How to watch Avengers in sequence?,1428,0.5515,5.62,5500000,0,No,Yes,No,informational,long-tail
The Avengers (2012),2500,0.6,5.57,85700000,0,No,Yes,Yes,informational,mid-tail
Marvel's the Avengers,2500,0.6,5.57,220000000,0,No,Yes,Yes,informational,mid-tail
Avengers: Infinity War,2500,0.6,5.57,43700000,0,No,Yes,Yes,informational,mid-tail
The Avengers full movie,2000,0.6,5.41,241000000,0,No,Yes,Yes,informational,long-tail
The Avengers (2012 film),2000,0.6,5.41,54800000,0,No,Yes,Yes,informational,long-tail
The Avengers (2012) cast,2000,0.6,5.41,21600000,0,No,Yes,Yes,informational,long-tail
Avengers (Marvel Cinematic Universe),2000,0.6,5.41,26900000,0,No,Yes,Yes,informational,long-tail
Avengers: Age of Ultron,2000,0.6,5.41,16200000,0,No,Yes,Yes,informational,long-tail
"Avengers: Endgame (Movie, 2019) | Release Date, Tickets, ...",1000,0.5453,5.4,4510000,0,No,Yes,No,informational,long-tail
What are the names of the Avengers?,1250,0.57,5.34,64200000,0,No,Yes,No,informational,long-tail
Who is the original 6 Avengers?,1428,0.72,4.32,161000000,0,Yes,Yes,No,informational,long-tail
