Keyword,Intent,Tail,Is Brand/Navigational,Monthly Searches,Competition,Opportunity Score,Google Results,Ads Shown,Featured Snippet?,PAA Available?,Knowledge Graph?
UCLA Global Internship Program,navigational,long-tail,Yes,2000,0.07,41.27,0,0,No,Yes,No
Global Internship Program HENNGE,navigational,long-tail,Yes,2000,0.3528,9.1,9110,0,No,Yes,No
Summer Internship Programs - CIEE,navigational,long-tail,Yes,1666,0.4059,7.75,50400,0,No,Yes,No
Are Berkeley Global internships paid?,navigational,long-tail,Yes,1666,0.45,7.0,209000,0,No,Yes,No
Global Internship Program IFC,informational,long-tail,No,2000,0.47,6.88,398000,0,No,Yes,No
Global internship remote,informational,mid-tail,No,2500,0.5,6.66,29400000,0,No,No,No
Global Internships summer 2025,informational,long-tail,No,2000,0.5,6.47,30700000,0,No,No,No
Internships | UNICEF Careers,informational,long-tail,No,2000,0.5,6.47,171000000,0,No,No,No
Global Internships | Education Abroad,informational,long-tail,No,1666,0.5,6.32,309000000,0,No,No,No
Global Internships | UCB Study Abroad,informational,long-tail,No,1428,0.5,6.19,19100000,0,No,No,No
Global Internship Program,informational,mid-tail,No,2500,0.57,5.86,157000000,0,No,Yes,No
Global Internship meaning,informational,mid-tail,No,2500,0.57,5.86,15400000,0,No,Yes,No
Global internship program Berkeley,navigational,long-tail,Yes,2000,0.57,5.69,10700000,0,No,Yes,No
Global Internship Program 2025,informational,long-tail,No,2000,0.57,5.69,154000000,0,No,Yes,No
Global internships for college students,informational,long-tail,No,1666,0.57,5.56,60000000,0,No,Yes,No
Do international interns get paid?,informational,long-tail,No,1666,0.57,5.56,14000000,0,No,Yes,No
Internship Abroad Programs & Reviews,commercial,long-tail,No,1666,0.57,5.56,132000000,0,No,Yes,No
What is a global internship?,informational,long-tail,No,1666,0.57,5.56,381000000,0,No,Yes,No
Which is the highest paid internship?,informational,long-tail,No,1428,0.57,5.44,18400000,0,No,Yes,No
Internships – Global U - Office for Global Engagement,informational,long-tail,No,1000,0.57,5.17,134000000,0,No,Yes,No
Global Internships: Helping Interns Find Jobs and Employers ...,informational,long-tail,No,1000,0.57,5.17,59900000,0,No,Yes,No
